"Obs","doby","nchartQuin","pc_cen_net_income_Mean","pc_cen_income_Mean","PCearn_Mean","PCssb_Mean","PCdbinc_Mean","PCssi_Mean","PCwlthinc_Mean","PCRetinc_Mean","pcNotModel_Mean","pcimpr_Mean"
"1","1936-1945",1,10746.69,11513.78,412.56,9922.60,603.72,478.535,1682.33,556.11,115.40,1594.98
"2","1946-1955",1,11826.50,13177.58,822.72,10960.35,465.62,321.051,2091.14,701.67,122.57,1922.54
"3","1956-1965",1,10574.99,13056.52,853.87,10945.10,283.07,229.399,2603.26,787.81,104.56,1859.98
"4","1966-1975",1,11647.37,13769.05,821.29,11886.01,294.69,148.922,2527.77,640.20,132.91,1880.78
"5","1976-1985",1,11741.23,15434.55,1212.25,13288.70,271.33,87.657,3940.82,883.09,77.25,2720.14
"6","1986-1995",1,14527.65,16361.05,986.05,14592.92,148.67,79.122,3131.15,722.39,142.85,3264.28
"7","1996-2005",1,15204.22,18127.74,1189.64,16083.88,225.59,56.120,3647.52,895.05,108.61,3400.62
"8","2006-2015",1,15778.87,20067.38,1495.91,17782.71,195.73,47.317,4022.72,917.61,109.87,4233.52
"9","1936-1945",2,20815.13,21237.03,1623.36,15342.11,2306.78,22.543,4283.22,1798.47,460.09,2706.34
"10","1946-1955",2,23290.49,23717.33,2103.84,16748.34,2074.65,10.137,4580.24,2427.36,582.41,3098.03
"11","1956-1965",2,22500.82,22998.56,2302.84,16641.95,1385.70,10.395,3810.82,2248.43,489.63,3108.61
"12","1966-1975",2,23799.89,24336.47,2370.90,18295.82,1007.81,2.595,3188.43,2168.40,535.11,3249.82
"13","1976-1985",2,25590.49,26288.73,2368.82,20083.30,591.27,3.902,4143.21,2453.60,514.44,4095.31
"14","1986-1995",2,28128.96,28914.52,2536.97,22372.99,502.60,2.325,4496.43,2441.28,687.80,5163.87
"15","1996-2005",2,30483.87,31649.99,2756.82,24684.94,568.96,0.000,4632.53,2624.98,577.70,5477.58
"16","2006-2015",2,33951.31,35340.21,3081.24,27520.67,662.45,0.000,4814.83,2589.87,777.53,6019.22
"17","1936-1945",3,32307.82,33881.58,4846.76,16792.18,7061.72,17.555,7335.28,3931.10,767.89,3241.84
"18","1946-1955",3,35816.35,37906.72,6051.38,18578.12,6099.00,3.566,6683.06,5846.11,983.95,3905.68
"19","1956-1965",3,35226.40,37500.90,6470.91,19711.00,3581.74,0.000,7123.26,5873.50,1072.72,4740.28
"20","1966-1975",3,37546.21,40024.36,6967.38,22410.74,2395.70,2.394,8724.90,6091.08,1359.29,5257.01
"21","1976-1985",3,40031.61,42799.23,7276.05,24860.06,1462.59,0.730,6926.72,6308.10,1606.72,5083.44
"22","1986-1995",3,43658.45,47136.60,8071.23,27643.37,1353.21,0.266,6923.69,6320.95,1672.92,6339.54
"23","1996-2005",3,47845.77,51989.06,9253.77,30963.75,1387.77,0.000,7151.56,6478.25,1696.20,7128.59
"24","2006-2015",3,52866.17,58045.90,10480.64,34295.23,1621.18,0.000,7665.65,7073.55,1781.31,8079.26
"25","1936-1945",4,47590.34,53024.01,9180.35,18491.37,14512.55,0.709,13825.13,7872.21,1015.36,3905.88
"26","1946-1955",4,53571.31,60255.30,12497.87,20743.57,12036.62,2.303,11910.26,12545.54,1237.74,4924.24
"27","1956-1965",4,53504.46,61387.35,15513.59,22588.27,7746.41,0.841,13051.41,11705.83,1598.01,5967.92
"28","1966-1975",4,57023.61,66094.28,18509.77,25566.23,4963.25,0.000,13274.89,12329.17,2028.89,7124.45
"29","1976-1985",4,60291.52,69897.56,19754.38,28897.18,3248.47,0.430,10491.72,12385.03,2077.40,7542.98
"30","1986-1995",4,65198.37,75986.89,21093.11,32046.18,2996.70,0.000,11951.87,11917.71,2612.69,8707.91
"31","1996-2005",4,72025.56,84617.19,23304.53,36197.07,3045.44,0.000,12863.19,12937.31,2749.78,10727.53
"32","2006-2015",4,77936.43,92456.18,26480.25,39570.89,3330.65,0.000,12669.60,12623.66,2997.51,10230.12
"33","1936-1945",5,95935.27,120392.30,32770.40,20650.00,26673.04,1.166,20592.20,14613.56,1139.42,5360.35
"34","1946-1955",5,101861.16,126377.44,36551.14,23157.02,23528.67,0.000,22519.97,23088.81,1338.15,6685.08
"35","1956-1965",5,112100.07,144971.96,49705.62,26372.78,16644.67,0.950,30470.74,26602.91,1630.27,9774.01
"36","1966-1975",5,123980.17,165594.31,62499.83,30318.71,11626.05,0.324,36816.13,27100.89,2028.38,11095.39
"37","1976-1985",5,126244.13,167463.98,67623.57,33985.35,7550.94,0.000,30243.60,27070.98,2278.86,11052.69
"38","1986-1995",5,147090.82,196248.18,78467.87,37926.75,7632.27,0.459,31762.97,26175.51,2563.20,14372.70
"39","1996-2005",5,168429.42,230085.34,92820.19,43159.98,7856.96,0.000,39687.01,28822.16,3134.82,16897.23
"40","2006-2015",5,175217.93,244241.75,98043.13,47250.22,7662.29,0.000,37918.89,28749.16,3275.61,17590.93

