"Obs","doby","nchartQuin","pc_cen_income_Mean","pc_tot_tax_Mean"
"1","1936-1945",,47796.16,-6520.87
"2","1946-1955",,52033.67,-6983.92
"3","1956-1965",,55699.61,-9139.14
"4","1966-1975",,61315.90,-11043.79
"5","1976-1985",,63627.60,-11441.70
"6","1986-1995",,71979.39,-13091.88
"7","1996-2005",,82241.19,-16388.37
"8","2006-2015",,88800.03,-18610.48
"9","1936-1945",1,10642.62,-680.18
"10","1946-1955",1,11683.00,-1129.50
"11","1956-1965",1,11542.26,-2088.26
"12","1966-1975",1,11001.61,-1606.60
"13","1976-1985",1,11841.69,-2732.48
"14","1986-1995",1,12330.77,-1381.79
"15","1996-2005",1,12631.23,-1973.04
"16","2006-2015",1,13612.44,-2753.51
"17","1936-1945",2,21270.81,-448.03
"18","1946-1955",2,23740.17,-462.95
"19","1956-1965",2,23003.71,-517.93
"20","1966-1975",2,24386.83,-581.75
"21","1976-1985",2,26383.67,-786.63
"22","1986-1995",2,28987.51,-863.93
"23","1996-2005",2,31774.96,-1281.47
"24","2006-2015",2,35413.03,-1530.10
"25","1936-1945",3,33908.45,-1613.23
"26","1946-1955",3,37959.88,-2144.58
"27","1956-1965",3,37532.65,-2297.46
"28","1966-1975",3,40074.99,-2524.87
"29","1976-1985",3,42884.87,-2856.53
"30","1986-1995",3,47168.99,-3527.50
"31","1996-2005",3,52062.20,-4247.06
"32","2006-2015",3,58188.92,-5401.02
"33","1936-1945",4,53066.47,-5473.91
"34","1946-1955",4,60289.68,-6718.21
"35","1956-1965",4,61418.98,-7922.53
"36","1966-1975",4,66119.70,-9092.84
"37","1976-1985",4,69980.98,-9679.24
"38","1986-1995",4,76030.58,-10871.42
"39","1996-2005",4,84783.23,-12753.03
"40","2006-2015",4,92602.00,-14623.41
"41","1936-1945",5,120356.25,-24440.13
"42","1946-1955",5,126727.30,-24514.91
"43","1956-1965",5,145217.80,-32918.48
"44","1966-1975",5,165277.52,-41482.60
"45","1976-1985",5,167342.50,-41229.28
"46","1986-1995",5,195622.20,-48876.31
"47","1996-2005",5,230281.58,-61778.69
"48","2006-2015",5,244467.06,-68817.53

