"Obs","doby","raceeth","pc_cen_net_income_P50"
"1","1936-1945",,32133.59
"2","1946-1955",,35621.89
"3","1956-1965",,34972.43
"4","1966-1975",,37415.48
"5","1976-1985",,39769.76
"6","1986-1995",,43608.29
"7","1996-2005",,47570.14
"8","2006-2015",,52701.13
"9","1936-1945","1.White, Non-Hisp",35946.37
"10","1946-1955","1.White, Non-Hisp",40202.68
"11","1956-1965","1.White, Non-Hisp",39997.33
"12","1966-1975","1.White, Non-Hisp",44234.08
"13","1976-1985","1.White, Non-Hisp",46767.54
"14","1986-1995","1.White, Non-Hisp",49531.90
"15","1996-2005","1.White, Non-Hisp",55786.18
"16","2006-2015","1.White, Non-Hisp",60942.10
"17","1936-1945","2.Black, Non-Hisp",24465.27
"18","1946-1955","2.Black, Non-Hisp",28213.86
"19","1956-1965","2.Black, Non-Hisp",27146.84
"20","1966-1975","2.Black, Non-Hisp",29160.85
"21","1976-1985","2.Black, Non-Hisp",34602.04
"22","1986-1995","2.Black, Non-Hisp",39059.83
"23","1996-2005","2.Black, Non-Hisp",42449.22
"24","2006-2015","2.Black, Non-Hisp",46073.44
"25","1936-1945","3.Hispanic",15262.84
"26","1946-1955","3.Hispanic",17635.99
"27","1956-1965","3.Hispanic",19001.61
"28","1966-1975","3.Hispanic",19602.85
"29","1976-1985","3.Hispanic",23680.44
"30","1986-1995","3.Hispanic",30008.21
"31","1996-2005","3.Hispanic",34572.07
"32","2006-2015","3.Hispanic",39946.97
"33","1936-1945","4.Other",24555.30
"34","1946-1955","4.Other",28680.39
"35","1956-1965","4.Other",34921.84
"36","1966-1975","4.Other",41683.24
"37","1976-1985","4.Other",44788.26
"38","1986-1995","4.Other",49183.97
"39","1996-2005","4.Other",52936.66
"40","2006-2015","4.Other",59941.43

